epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,605.814,0.66272,0.38525,1.0036,0.99181,0.86752,0.88252,0.84502,0.35775,0.24115,0.77486,0.000439,0.000439,0.000439
87,612.769,0.62909,0.36928,0.98661,0.99224,0.86752,0.88577,0.82124,0.43315,0.24504,0.78866,0.0004324,0.0004324,0.0004324
88,619.602,0.62125,0.35714,0.98491,0.99374,0.86752,0.89221,0.82721,0.34423,0.22239,0.77832,0.0004258,0.0004258,0.0004258
89,626.598,0.58891,0.36632,0.96591,0.99438,0.86752,0.89366,0.83542,0.33545,0.22005,0.77501,0.0004192,0.0004192,0.0004192
90,633.271,0.58001,0.33974,0.97123,0.99367,0.86752,0.89646,0.83808,0.44364,0.24253,0.78891,0.0004126,0.0004126,0.0004126
91,640.581,0.56569,0.33744,0.97594,0.99212,0.86752,0.89356,0.81119,0.47728,0.24369,0.79478,0.000406,0.000406,0.000406
92,646.769,0.5776,0.33253,0.9733,0.99292,0.86752,0.89388,0.82897,0.40701,0.22845,0.78335,0.0003994,0.0003994,0.0003994
93,654.138,0.58084,0.342,0.9938,0.99458,0.86752,0.89413,0.82056,0.42558,0.22022,0.7888,0.0003928,0.0003928,0.0003928
94,660.522,0.5607,0.33902,0.95554,0.99378,0.86752,0.89834,0.78736,0.50573,0.23518,0.80569,0.0003862,0.0003862,0.0003862
95,667.983,0.58911,0.34643,0.97996,0.99249,0.86752,0.90497,0.76526,0.61168,0.27656,0.83325,0.0003796,0.0003796,0.0003796
96,674.399,0.58717,0.35525,0.9772,0.9935,0.86752,0.90707,0.77042,0.6337,0.27429,0.84156,0.000373,0.000373,0.000373
97,681.376,0.58449,0.35366,0.96901,0.99441,0.86752,0.90715,0.79158,0.56567,0.2539,0.81828,0.0003664,0.0003664,0.0003664
98,688.317,0.59419,0.36404,0.99221,0.99323,0.86752,0.90095,0.81463,0.47867,0.2364,0.79259,0.0003598,0.0003598,0.0003598
99,695.006,0.59386,0.36454,0.97754,0.99296,0.86752,0.90283,0.78155,0.61323,0.27441,0.82968,0.0003532,0.0003532,0.0003532
