epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2312.66,0.59537,0.42646,0.94154,0.99389,0.86752,0.8697,0.8395,0.34182,0.30221,0.82216,0.0003169,0.0003169,0.0003169
71,2343.77,0.572,0.41956,0.92391,0.99469,0.86752,0.86879,0.82974,0.38259,0.30125,0.82243,0.000307,0.000307,0.000307
72,2375.13,0.57334,0.41012,0.93358,0.99422,0.86752,0.86792,0.79118,0.52883,0.34961,0.85807,0.0002971,0.0002971,0.0002971
73,2407.01,0.55783,0.41061,0.94649,0.99403,0.86752,0.86785,0.79319,0.46762,0.32429,0.84257,0.0002872,0.0002872,0.0002872
74,2439.36,0.57419,0.41586,0.93628,0.99354,0.86752,0.86814,0.79593,0.49025,0.32786,0.84293,0.0002773,0.0002773,0.0002773
75,2472.78,0.55487,0.40388,0.93333,0.99305,0.86752,0.8688,0.81629,0.45654,0.3343,0.83877,0.0002674,0.0002674,0.0002674
76,2505.94,0.58043,0.40527,0.93879,0.9928,0.86752,0.86989,0.82766,0.36493,0.29492,0.82927,0.0002575,0.0002575,0.0002575
77,2537.96,0.56997,0.41411,0.93507,0.99304,0.86752,0.8702,0.82722,0.35523,0.28253,0.82388,0.0002476,0.0002476,0.0002476
78,2569.49,0.57328,0.39233,0.93638,0.9928,0.86752,0.86991,0.7996,0.40501,0.29266,0.83084,0.0002377,0.0002377,0.0002377
79,2601.19,0.56982,0.40421,0.94221,0.99268,0.86752,0.86909,0.81444,0.40725,0.27858,0.83275,0.0002278,0.0002278,0.0002278
80,2632.69,0.53871,0.39119,0.93296,0.99191,0.86752,0.86842,0.77897,0.46614,0.30156,0.84295,0.0002179,0.0002179,0.0002179
81,2665.56,0.56249,0.39579,0.941,0.9922,0.86752,0.86795,0.76487,0.57334,0.33437,0.86813,0.000208,0.000208,0.000208
82,2700.51,0.58285,0.39654,0.92748,0.99238,0.86752,0.86777,0.77961,0.48303,0.31312,0.84749,0.0001981,0.0001981,0.0001981
83,2732.99,0.57481,0.39986,0.94538,0.99338,0.86752,0.86751,0.77929,0.48559,0.29628,0.84669,0.0001882,0.0001882,0.0001882
84,2765.86,0.52158,0.38032,0.91104,0.9934,0.86752,0.8673,0.78827,0.43756,0.28467,0.83727,0.0001783,0.0001783,0.0001783
85,2798.6,0.54558,0.39046,0.92586,0.99326,0.86752,0.86741,0.81456,0.39096,0.28012,0.82897,0.0001684,0.0001684,0.0001684
86,2831.09,0.55676,0.37887,0.94489,0.99233,0.86752,0.86751,0.79775,0.42876,0.27472,0.83041,0.0001585,0.0001585,0.0001585
87,2862.92,0.54648,0.37003,0.92354,0.99302,0.86752,0.86746,0.78011,0.46472,0.28062,0.8365,0.0001486,0.0001486,0.0001486
88,2894.73,0.54712,0.38257,0.93081,0.99324,0.86752,0.86742,0.83039,0.37562,0.25436,0.8254,0.0001387,0.0001387,0.0001387
89,2928,0.55927,0.40104,0.93536,0.99266,0.86752,0.86746,0.8165,0.38709,0.26164,0.82746,0.0001288,0.0001288,0.0001288
